"優先Tier","カテゴリ","施設名","エリア","市区町村","きょうのこ掲載URL","公式サイト","問い合わせ方法","Instagram","メディア窓口","運営主体・所感"
"A","博物館・科学館","そらんぽ四日市（四日市市立博物館・プラネタリウム）","三重県","四日市市","https://kyounoko.jp/spot/-nz9l","","","","",""
"A","博物館・科学館","ミキモト真珠島","三重県","鳥羽市","https://kyounoko.jp/spot/-lqbo","","","","",""
"A","博物館・科学館","三重県総合博物館 MieMu","三重県","津市","https://kyounoko.jp/spot/MieMu-voub","","","","",""
"A","屋内施設","ラウンドワンスタジアム みえ・川越IC店","三重県","川越町","https://kyounoko.jp/spot/IC-z8qf","","","","",""
"A","博物館・科学館","京都鉄道博物館","京都府","京都市","https://kyounoko.jp/spot/-v9ua","","","","",""
"A","屋内施設","ピュアハートキッズランド伏見桃山","京都府","京都市伏見区","https://kyounoko.jp/spot/-uc56","","","","",""
"A","博物館・科学館","佐賀県立宇宙科学館","佐賀県","武雄市","https://kyounoko.jp/spot/-ho86","","","","",""
"A","博物館・科学館","佐賀県立宇宙科学館「ゆめぎんが」","佐賀県","武雄市","https://kyounoko.jp/spot/-3ert","","","","",""
"A","屋内施設","あそびパーク モラージュ佐賀店","佐賀県","佐賀市","https://kyounoko.jp/spot/-t8xn","","","","",""
"A","屋内施設","キッズユーエスランド 佐賀大和店","佐賀県","佐賀市","https://kyounoko.jp/spot/-nl28","","","","",""
"A","屋内施設","BOAT KIDS PARK Moooviからつ","佐賀県","唐津市","https://kyounoko.jp/spot/BOAT-KIDS-PARK-Mooovi-8wst","","","","",""
"A","屋内施設","メリッタKid's TAKEO","佐賀県","武雄市","https://kyounoko.jp/spot/Kid's-TAKEO-uipj","","","","",""
"A","屋内施設","神戸アンパンマンこどもミュージアム&モール","兵庫県","神戸市中央区","https://kyounoko.jp/spot/-msnm","","","","",""
"A","屋内施設","ピュアハートキッズランド尼崎つかしん","兵庫県","尼崎市","https://kyounoko.jp/spot/-u6gs","","","","",""
"A","牧場","神崎農村公園ヨーデルの森","兵庫県","神河町","https://kyounoko.jp/spot/-24mk","","","","",""
"A","屋内施設","ファンタジーキッズリゾート新さっぽろ","北海道","札幌市","https://kyounoko.jp/spot/-co8h","","","","",""
"A","博物館・科学館","航空科学博物館","千葉県","芝山町","https://kyounoko.jp/spot/-8263","","","","",""
"A","屋内施設","三井アウトレットパーク幕張","千葉県","千葉市","https://kyounoko.jp/spot/-sk26","","","","",""
"A","屋内施設","イオンモール幕張新都心","千葉県","千葉市","https://kyounoko.jp/spot/-17hj","","","","",""
"A","屋内施設","カンドゥー（イオンモール幕張新都心）","千葉県","千葉市","https://kyounoko.jp/spot/-2r1b","","","","",""
"A","屋内施設","酒々井プレミアム・アウトレット","千葉県","酒々井町","https://kyounoko.jp/spot/-xff9","","","","",""
"A","屋内施設","ふくろうの杜（流山）","千葉県","流山市","https://kyounoko.jp/spot/-et68","","","","",""
"A","牧場","マザー牧場","千葉県","富津市","https://kyounoko.jp/spot/-bv97","","","","",""
"A","博物館・科学館","和歌山市立こども科学館","和歌山県","和歌山市","https://kyounoko.jp/spot/-1ocs","","","","",""
"A","博物館・科学館","和歌山県立自然博物館","和歌山県","海南市","https://kyounoko.jp/spot/-akn1","","","","",""
"A","博物館・科学館","太地町立くじらの博物館","和歌山県","太地町","https://kyounoko.jp/spot/-k2j0","","","","",""
"A","博物館・科学館","鉄道博物館","埼玉県","さいたま市","https://kyounoko.jp/spot/-qgf2","","","","",""
"A","博物館・科学館","所沢航空発祥記念館","埼玉県","所沢市","https://kyounoko.jp/spot/-mgtu","","","","",""
"A","季節体験","川越まつり会館＆菓子屋横丁","埼玉県","川越市","https://kyounoko.jp/spot/-aual","","","","",""
"A","屋内施設","ららぽーと富士見","埼玉県","富士見市","https://kyounoko.jp/spot/-dz3l","","","","",""
"A","屋内施設","コクーンシティ（さいたま新都心）","埼玉県","さいたま市","https://kyounoko.jp/spot/-k5af","","","","",""
"A","屋内施設","ザキッズ 大分トキハ店","大分県","大分市","https://kyounoko.jp/spot/-oiuo","","","","",""
"A","屋内施設","キッズランドUS 大分由布挾間店","大分県","由布市","https://kyounoko.jp/spot/US-0dhv","","","","",""
"A","屋内施設","別府こどもあそびめぐり","大分県","別府市","https://kyounoko.jp/spot/-02eq","","","","",""
"A","屋内施設","キッズプラザ大阪","大阪府","大阪市","https://kyounoko.jp/spot/-85ch","","","","",""
"A","屋内施設","ATCあそびマーレ","大阪府","大阪市住之江区","https://kyounoko.jp/spot/ATC-k8cp","","","","",""
"A","屋内施設","ピュアハートキッズランド フレスポしんかな","大阪府","堺市","https://kyounoko.jp/spot/-svgc","","","","",""
"A","屋内施設","キッズランドUS 大阪ベイタワー店","大阪府","大阪市港区","https://kyounoko.jp/spot/US-g18b","","","","",""
"A","博物館・科学館","橿原市昆虫館","奈良県","橿原市","https://kyounoko.jp/spot/-runz","","","","",""
"A","博物館・科学館","奈良県立民俗博物館・大和民俗公園","奈良県","大和郡山市","https://kyounoko.jp/spot/-o3cm","","","","",""
"A","博物館・科学館","橿原市立こども科学館","奈良県","橿原市","https://kyounoko.jp/spot/-04pc","","","","",""
"A","屋内施設","キッズランドUS 奈良香芝店","奈良県","香芝市","https://kyounoko.jp/spot/US-45q7","","","","",""
"A","牧場","うだ・アニマルパーク","奈良県","宇陀市","https://kyounoko.jp/spot/-mapg","","","","",""
"A","博物館・科学館","スリーエム仙台市科学館","宮城県","仙台市","https://kyounoko.jp/spot/-qim4","","","","",""
"A","博物館・科学館","仙台市天文台","宮城県","仙台市","https://kyounoko.jp/spot/-ypkk","","","","",""
"A","屋内施設","仙台アンパンマンこどもミュージアム","宮城県","仙台市","https://kyounoko.jp/spot/-4xd2","","","","",""
"A","屋内施設","感性の森","宮城県","白石市","https://kyounoko.jp/spot/-5h8u","","","","",""
"A","屋内施設","キッズワールド名取店","宮城県","名取市","https://kyounoko.jp/spot/-a8xe","","","","",""
"A","牧場","蔵王ハートランド","宮城県","蔵王町","https://kyounoko.jp/spot/-53jc","","","","",""
"A","博物館・科学館","宮崎科学技術館","宮崎県","宮崎市","https://kyounoko.jp/spot/-peul","","","","",""
"A","屋内施設","キッズランドUS南宮崎店","宮崎県","宮崎市","https://kyounoko.jp/spot/US-1tbi","","","","",""
"A","屋内施設","ASOBI PARK","宮崎県","宮崎市","https://kyounoko.jp/spot/ASOBI-PARK-8dmp","","","","",""
"A","屋内施設","夢見が丘キッズパーク","宮崎県","都城市","https://kyounoko.jp/spot/-pppf","","","","",""
"A","屋内施設","こどもーる","宮崎県","延岡市","https://kyounoko.jp/spot/-kpdv","","","","",""
"A","屋内施設","キッズバウンス","宮崎県","宮崎市","https://kyounoko.jp/spot/-ztoz","","","","",""
"A","博物館・科学館","富山市科学博物館","富山県","富山市","https://kyounoko.jp/spot/-vmbx","","","","",""
"A","博物館・科学館","ほたるいかミュージアム","富山県","滑川市","https://kyounoko.jp/spot/-ti1v","","","","",""
"A","屋内施設","富山県こどもみらい館","富山県","射水市","https://kyounoko.jp/spot/-2kmq","","","","",""
"A","屋内施設","富山あそびマーレ","富山県","射水市","https://kyounoko.jp/spot/-4jpy","","","","",""
"A","博物館・科学館","防府市青少年科学館ソラール","山口県","防府市","https://kyounoko.jp/spot/-9vqj","","","","",""
"A","博物館・科学館","山口県立山口博物館","山口県","山口市","https://kyounoko.jp/spot/-4u60","","","","",""
"A","屋内施設","長門おもちゃ美術館","山口県","長門市","https://kyounoko.jp/spot/-2ucl","","","","",""
"A","屋内施設","キッズランドUS フジグラン山口店","山口県","山口市","https://kyounoko.jp/spot/US-gaih","","","","",""
"A","屋内施設","ふくふくこども館","山口県","下関市","https://kyounoko.jp/spot/-6h41","","","","",""
"A","季節体験","蔵王温泉","山形県","山形市","https://kyounoko.jp/spot/-tvss","","","","",""
"A","屋内施設","べにっこひろば","山形県","山形市","https://kyounoko.jp/spot/-3pov","","","","",""
"A","屋内施設","ザ・キッズ 山形イオンモール三川店","山形県","三川町","https://kyounoko.jp/spot/-ezxe","","","","",""
"A","屋内施設","天童市子育て未来館 げんキッズ","山形県","天童市","https://kyounoko.jp/spot/-biv7","","","","",""
"A","屋内施設","やまぎん県民ホール（やまぎんこども館）","山形県","山形市","https://kyounoko.jp/spot/-ih6m","","","","",""
"A","牧場","ホースガーデンむらやま","山形県","村山市","https://kyounoko.jp/spot/-ezac","","","","",""
"A","博物館・科学館","山梨県立科学館","山梨県","甲府市","https://kyounoko.jp/spot/-lvdu","","","","",""
"A","博物館・科学館","山梨県立リニア見学センター","山梨県","都留市","https://kyounoko.jp/spot/-a39q","","","","",""
"A","博物館・科学館","山梨県立考古博物館","山梨県","甲府市","https://kyounoko.jp/spot/-67jb","","","","",""
"A","屋内施設","ふじさんのぬく森キポキポ","山梨県","富士吉田市","https://kyounoko.jp/spot/-pte3","","","","",""
"A","牧場","清泉寮ジャージー牧場","山梨県","北杜市","https://kyounoko.jp/spot/-g7yo","","","","",""
"A","博物館・科学館","岐阜かかみがはら航空宇宙博物館","岐阜県","各務原市","https://kyounoko.jp/spot/-d723","","","","",""
"A","屋内施設","ピュアハートキッズランド大垣","岐阜県","大垣市","https://kyounoko.jp/spot/-nysq","","","","",""
"A","牧場","ひるがの高原 牧歌の里","岐阜県","郡上市","https://kyounoko.jp/spot/-72s3","","","","",""
