優先度,カテゴリ群,施設名,エリア,きょうのこ掲載URL,公式サイト,問い合わせ方法,Instagram,メディア窓口,運営主体・所感
★★★,牧場,りんどう湖ファミリー牧場,栃木県那須町,https://kyounoko.jp/spot/-eb58,https://www.rindo.co.jp/,フォーム(取材専用):https://www.rindo.co.jp/contact-media/,https://www.instagram.com/nasurindouko/,あり(取材・撮影を積極開放と明記),企業／最も通りやすい・筆頭候補
★★★,牧場,マザー牧場,千葉県富津市,https://kyounoko.jp/spot/-bv97,https://www.motherfarm.co.jp/,フォーム(プレス):https://www.motherfarm.co.jp/press.php,https://www.instagram.com/motherfarm_official/,あり(プレス専用窓口),企業／専用窓口・メディア慣れ◎(手続きは正式)
★★★,牧場,こもれび森のイバライド,茨城県稲敷市,https://kyounoko.jp/spot/-gf2e,https://www.ibaraido.co.jp/,フォーム:https://www.ibaraido.co.jp/contact/,https://www.instagram.com/ibaraido/,フォーム内に「撮影・取材依頼」枠あり,企業／撮影取材枠あり・通りやすい
★★★,牧場,伊香保グリーン牧場,群馬県渋川市,https://kyounoko.jp/spot/-d8fs,https://www.greenbokujo.jp/,フォーム:https://www.greenbokujo.jp/contact/,https://www.instagram.com/ikaho_green_bokujo/,なし,企業／広報意識高く前向きそう
★★★,牧場,ブルーメの丘,滋賀県日野町,https://kyounoko.jp/spot/-kp2f,https://www.blumenooka.jp/,電話:0748-52-2611,https://www.instagram.com/blumenooka/,メディア掲載一覧ページあり,企業／掲載に積極的
★★★,牧場,神崎農村公園ヨーデルの森,兵庫県神河町,https://kyounoko.jp/spot/-24mk,https://yodel-forest.jp/,フォーム:https://yodel-forest.jp/contact,https://www.instagram.com/yodel_official/,なし,指定管理(民間)／SNS発信に積極的
★★★,ミュージアム,こんにゃくパーク,群馬県甘楽町,https://kyounoko.jp/spot/-8jhu,https://www.konnyaku-park.com/,フォーム:https://www.konnyaku-park.com/contact/,https://www.instagram.com/konnyakupark.manan/,なし,企業／無料施設・露出歓迎で協力的◎
★★★,ミュージアム,タオル美術館ICHIHIRO,愛媛県今治市,https://kyounoko.jp/spot/-p586,https://www.towelmuseum.com/,フォーム:https://www.towel-museum.com/contact/,https://www.instagram.com/towelmuseum/,なし,企業(一広)／広報意識高い
★★★,ミュージアム,創造広場アクトランド,高知県香南市,https://kyounoko.jp/spot/-nvhg,https://www.actland.jp/,メール:info@actland.jp,https://www.instagram.com/actland_kochi/,なし,企業(私設)／露出歓迎・丁寧な打診を
★★★,おもちゃ美術館,讃岐おもちゃ美術館,香川県高松市,https://kyounoko.jp/spot/-mopy,https://npo-wahaha.net/stm/,フォーム:https://npo-wahaha.net/stm/contact/,https://www.instagram.com/sanuki_toymuseum/,なし,NPO(わははネット)／子育て連携に積極的
★★★,おもちゃ美術館,長門おもちゃ美術館,山口県長門市,https://kyounoko.jp/spot/-2ucl,https://www.nagato-toymuseum.com/,フォーム:https://www.nagato-toymuseum.com/contact01,https://www.instagram.com/nagatotoymuseum/,なし,NPO(人と木)／SNS発信に積極的
★★★,おもちゃ美術館,花巻おもちゃ美術館,岩手県花巻市,https://kyounoko.jp/spot/-e82l,https://www.hanamaki-toymuseum.com/,メール:htm@otomoku.co.jp,https://www.instagram.com/htm20200720/,なし,企業(大東木材)／意思決定が早そう
★★,牧場,小岩井農場,岩手県雫石町,https://kyounoko.jp/spot/-8o11,https://www.koiwaifarm.com/,フォーム:https://www.koiwaifarm.com/contact/,https://www.instagram.com/koiwai_makibaen/,なし,企業(三菱系)／大規模・法人窓口は固め
★★,牧場,蔵王ハートランド,宮城県蔵王町,https://kyounoko.jp/spot/-53jc,https://heartland.zao-cheese.or.jp/,電話:0224-34-3311,https://www.instagram.com/zaocheese1960_official/,なし,財団系／地域密着・観光PRは通りやすそう
★★,牧場,神津牧場,群馬県下仁田町,https://kyounoko.jp/spot/-pjwg,http://www.kouzubokujyo.or.jp/,フォーム:http://www.kouzubokujyo.or.jp/information/contact.html,https://www.instagram.com/kozufarm_official/,なし,公益財団／公益性高く知名度向上に資する提案◎
★★,牧場,ホースガーデンむらやま,山形県村山市,https://kyounoko.jp/spot/-ezac,https://umakko.com/,電話:0237-55-6859,https://www.instagram.com/horsegarden_murayama/,なし,小規模乗馬／窓口は電話一本・柔軟そう
★★,牧場,大山まきばみるくの里,鳥取県伯耆町,https://kyounoko.jp/spot/-g002,https://dainyu.or.jp/home-of-milk/,フォーム:https://dainyu.or.jp/home-of-milk/contact/,https://www.instagram.com/daisen.milknosato/,なし,農協(大山乳業)／組織判断で時間かかる可能性
★★,おもちゃ美術館,佐川おもちゃ美術館,高知県佐川町,https://kyounoko.jp/spot/-7ej3,https://sakawa-toymuseum.info/,フォーム:https://sakawa-toymuseum.info/contact.htm,https://www.instagram.com/sakawa.toymuseum/,なし,町＋財団／決裁にやや時間
★★,おもちゃ美術館,鳥海山 木のおもちゃ館,秋田県由利本荘市,https://kyounoko.jp/spot/-c01l,https://chokaisan-wtm.jp/,フォーム:https://chokaisan-wtm.jp/contact/,https://www.instagram.com/chokaisanwtm/,なし,市指定管理／指定管理者経由の確認要
★★,屋内施設,べにっこひろば,山形県山形市,https://kyounoko.jp/spot/-3pov,山形市公式(city.yamagata-yamagata.lg.jp内),電話:023-674-0220,https://www.instagram.com/benikko_ikuji_land/,なし,自治体+NPO運営／子育て支援目的・通りやすい
★★,屋内施設,こどもはっち,青森県八戸市,https://kyounoko.jp/spot/-hfox,https://www.kodomohacchi.com/,フォーム:https://kodomohacchi.net/contact,https://www.instagram.com/kodomohacchi/,なし,自治体+NPO(はちのへ未来ネット)／前向きそう
★★,屋内施設,あそびの森 かほっくる,石川県かほく市,https://kyounoko.jp/spot/-wbpl,https://k-kuru.com/,メール:info@k-kuru.com,https://www.instagram.com/kahokkuru/,なし,市+NPO(クラブパレット)／柔軟・通りやすい
