施設名,カテゴリ,都道府県,市区町村,最寄駅,対象年齢,予算,屋内外,URL
ジブリパーク,遊園地,愛知県,長久手市,,4-6,1000〜3000円,屋内外,https://kyounoko.jp/spot/-vkp5
モリコロパーク,公園,愛知県,長久手市,,2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-3l0h
レゴランド・ジャパン,遊園地,愛知県,名古屋市,,2-3/4-6,3000円〜,屋内外,https://kyounoko.jp/spot/-zkah
愛知こどもの国,公園,愛知県,西尾市,,2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-toxk
愛知県児童総合センター,屋内施設,愛知県,長久手市,,0-1/2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-8jqc
安城産業文化公園デンパーク,公園,愛知県,安城市,,0-1/2-3/4-6,〜1000円,屋内外,https://kyounoko.jp/spot/-elkb
東山動植物園,動物園,愛知県,名古屋市,,0-1/2-3/4-6,〜1000円,屋外,https://kyounoko.jp/spot/-nbu1
豊橋総合動植物公園 のんほいパーク,動物園,愛知県,豊橋市,,0-1/2-3/4-6,〜1000円,屋内外,https://kyounoko.jp/spot/-5ze0
名古屋港水族館,水族館,愛知県,名古屋市,,0-1/2-3/4-6,1000〜3000円,屋内,https://kyounoko.jp/spot/-0eq0
名古屋市科学館,博物館・科学館,愛知県,名古屋市,,2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-psij
えひめこどもの城,公園,愛媛県,松山市,,2-3/4-6,無料,屋内外,https://kyounoko.jp/spot/-zyfu
えひめ森林公園,公園,愛媛県,伊予市,,2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-15xs
おさかな館,水族館,愛媛県,大洲市,,2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-ghnp
ザキッズ 松山三越店,屋内施設,愛媛県,松山市,,0-1/2-3/4-6,1000〜3000円,屋内,https://kyounoko.jp/spot/-t142
タオル美術館,博物館・科学館,愛媛県,今治市,,2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-p586
とべ動物園,動物園,愛媛県,砥部町,,2-3/4-6,〜1000円,屋外,https://kyounoko.jp/spot/-kg5y
トンデミ愛媛,屋内施設,愛媛県,伊予郡松前町,,4-6,1000〜3000円,屋内,https://kyounoko.jp/spot/-855v
愛媛県総合科学博物館,博物館・科学館,愛媛県,新居浜市,,2-3/4-6,1000〜3000円,屋内,https://kyounoko.jp/spot/-0z4q
愛媛県立とべ動物園,動物園,愛媛県,伊予郡砥部町,,0-1/2-3/4-6,〜1000円,屋外,https://kyounoko.jp/spot/-o0jk
松山総合公園,公園,愛媛県,松山市,,0-1/2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-vx5p
鉄道歴史パーク in SAIJO,博物館・科学館,愛媛県,西条市,,2-3/4-6,無料,屋内外,https://kyounoko.jp/spot/in-SAIJO-9zv4
面河山岳博物館,博物館・科学館,愛媛県,久万高原町,,4-6,〜1000円,屋内,https://kyounoko.jp/spot/-dr19
JAXA筑波宇宙センター,博物館・科学館,茨城県,つくば市,,4-6,無料,屋内,https://kyounoko.jp/spot/JAXA-3t16
アクアワールド茨城県大洗水族館,水族館,茨城県,大洗町,,0-1/2-3/4-6,1000〜3000円,屋内,https://kyounoko.jp/spot/-9xdq
キッズユーエスランド 牛久店,屋内施設,茨城県,牛久市,,0-1/2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-wyl8
こもれび森のイバライド,牧場,茨城県,稲敷市,,0-1/2-3/4-6,1000〜3000円,屋内外,https://kyounoko.jp/spot/-gf2e
つくばエキスポセンター,博物館・科学館,茨城県,つくば市,,2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-nmlf
ミュージアムパーク茨城県自然博物館,博物館・科学館,茨城県,坂東市,,2-3/4-6,〜1000円,屋内外,https://kyounoko.jp/spot/-pecb
茨城県フラワーパーク,公園,茨城県,石岡市,,2-3/4-6,〜1000円,屋外,https://kyounoko.jp/spot/-is1o
笠間芸術の森公園,公園,茨城県,笠間市,,2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-73ea
国営ひたち海浜公園,公園,茨城県,ひたちなか市,,2-3/4-6,〜1000円,屋外,https://kyounoko.jp/spot/-kkom
国営ひたち海浜公園 大観覧車,遊園地,茨城県,ひたちなか市,,0-1/2-3/4-6,〜1000円,屋外,https://kyounoko.jp/spot/-w4e1
大洗わくわく科学館,博物館・科学館,茨城県,大洗町,,2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-hze2
日立市かみね動物園,動物園,茨城県,日立市,,0-1/2-3/4-6,〜1000円,屋外,https://kyounoko.jp/spot/-k0re
おもちゃ王国（岡山）,遊園地,岡山県,玉野市,,0-1/2-3/4-6,1000〜3000円,屋内外,https://kyounoko.jp/spot/-5hjc
つやま自然のふしぎ館,博物館・科学館,岡山県,津山市,,4-6,〜1000円,屋内,https://kyounoko.jp/spot/-fsc5
ヒルゼン高原センター ジョイフルパーク,遊園地,岡山県,真庭市,,2-3/4-6,3000円〜,屋内外,https://kyounoko.jp/spot/-atjq
浦安総合公園,公園,岡山県,岡山市南区,,0-1/2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-s9bq
岡山シティミュージアム,博物館・科学館,岡山県,岡山市,,4-6,〜1000円,屋内,https://kyounoko.jp/spot/-4ltr
岡山県自然保護センター,公園,岡山県,備前市,,2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-lclu
笠岡市立カブトガニ博物館・恐竜公園,博物館・科学館,岡山県,笠岡市,,2-3/4-6,〜1000円,屋内外,https://kyounoko.jp/spot/-171s
渋川マリン水族館,水族館,岡山県,玉野市,,0-1/2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-qffw
渋川動物公園,動物園,岡山県,玉野市,,2-3/4-6,〜1000円,屋外,https://kyounoko.jp/spot/-2phk
倉敷科学センター,博物館・科学館,岡山県,倉敷市,,2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-arbp
池田動物園,動物園,岡山県,岡山市北区,,0-1/2-3/4-6,〜1000円,屋外,https://kyounoko.jp/spot/-igms
DMMかりゆし水族館,水族館,沖縄県,豊見城市,,2-3/4-6,1000〜3000円,屋内,https://kyounoko.jp/spot/DMM-q8sa
あそびパーク イオン具志川店,屋内施設,沖縄県,うるま市,,0-1/2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-nygw
おきなわワールド,遊園地,沖縄県,南城市,,2-3/4-6,1000〜3000円,屋内外,https://kyounoko.jp/spot/-fmms
ザキッズ 沖縄パレットくもじ店,屋内施設,沖縄県,那覇市,,0-1/2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-z802
ちきゅうのにわ イオンモール沖縄ライカム店,屋内施設,沖縄県,北中城村,,0-1/2-3/4-6,1000〜3000円,屋内,https://kyounoko.jp/spot/-ecyb
ナゴパイナップルパーク,遊園地,沖縄県,名護市,,0-1/2-3/4-6,〜1000円,屋内外,https://kyounoko.jp/spot/-71to
ネオパークオキナワ,動物園,沖縄県,名護市,,2-3/4-6,〜1000円,屋外,https://kyounoko.jp/spot/-6iuf
沖縄こどもの国,動物園,沖縄県,沖縄市,,0-1/2-3/4-6,〜1000円,屋内外,https://kyounoko.jp/spot/-r47n
沖縄美ら海水族館,水族館,沖縄県,本部町,,0-1/2-3/4-6,1000〜3000円,屋内,https://kyounoko.jp/spot/-gj65
海軍壕公園（ガジュマルラビリンス）,公園,沖縄県,豊見城市,,2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-p5aa
釣って見つける ぼうけんの国 沖縄,屋内施設,沖縄県,うるま市,,2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-ne5x
花巻おもちゃ美術館,博物館・科学館,岩手県,花巻市,,0-1/2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-e82l
岩山パークランド,遊園地,岩手県,盛岡市,,2-3/4-6,〜1000円,屋外,https://kyounoko.jp/spot/-4y6d
岩手サファリパーク,動物園,岩手県,一関市,,2-3/4-6,1000〜3000円,屋内外,https://kyounoko.jp/spot/-rhz9
岩手県立児童館 いわて子どもの森,屋内施設,岩手県,一戸町,,0-1/2-3/4-6,無料,屋内,https://kyounoko.jp/spot/-k352
岩手県立児童館いわて子どもの森,屋内施設,岩手県,一戸町,,0-1/2-3/4-6,無料,屋内外,https://kyounoko.jp/spot/-xw6m
岩手県立美術館,博物館・科学館,岩手県,盛岡市,,4-6,〜1000円,屋内,https://kyounoko.jp/spot/-z5uy
県立御所湖広域公園,公園,岩手県,盛岡市,,0-1/2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-62v6
小岩井農場,牧場,岩手県,雫石町,,0-1/2-3/4-6,1000〜3000円,屋外,https://kyounoko.jp/spot/-8o11
盛岡市子ども科学館,博物館・科学館,岩手県,盛岡市,,2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-r2ry
盛岡市動物公園 ZOOMO,動物園,岩手県,盛岡市,,2-3/4-6,〜1000円,屋外,https://kyounoko.jp/spot/ZOOMO-8ry2
盛岡市動物公園ZOOMO,動物園,岩手県,盛岡市,,2-3/4-6,〜1000円,屋外,https://kyounoko.jp/spot/ZOOMO-up3y
龍泉洞,季節体験,岩手県,岩泉町,,4-6,〜1000円,屋内外,https://kyounoko.jp/spot/-pe94
歴史公園えさし藤原の郷,博物館・科学館,岩手県,奥州市,,4-6,1000〜3000円,屋外,https://kyounoko.jp/spot/-03lr
ぎふワールド・ローズガーデン,公園,岐阜県,可児市,,0-1/2-3/4-6,〜1000円,屋内外,https://kyounoko.jp/spot/-539q
ぎふ清流里山公園,公園,岐阜県,美濃加茂市,,2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-80eg
ピュアハートキッズランド大垣,屋内施設,岐阜県,大垣市,,0-1/2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-nysq
ひるがの高原 牧歌の里,牧場,岐阜県,郡上市,,0-1/2-3/4-6,1000〜3000円,屋外,https://kyounoko.jp/spot/-72s3
河川環境楽園 オアシスパーク,公園,岐阜県,各務原市,,0-1/2-3/4-6,無料,屋内外,https://kyounoko.jp/spot/-qgh9
各務原市民公園,公園,岐阜県,各務原市,,2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-59c0
岐阜かかみがはら航空宇宙博物館,博物館・科学館,岐阜県,各務原市,,2-3/4-6,1000〜3000円,屋内,https://kyounoko.jp/spot/-d723
岐阜ファミリーパーク,公園,岐阜県,岐阜市,,2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-gy1c
岐阜県こどもの国,公園,岐阜県,養老町,,0-1/2-3/4-6,無料,屋内外,https://kyounoko.jp/spot/-2ufn
世界淡水魚園水族館 アクア・トトぎふ,水族館,岐阜県,各務原市,,2-3/4-6,1000〜3000円,屋内,https://kyounoko.jp/spot/-yogo
木曽三川公園センター,公園,岐阜県,海津市,,0-1/2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-ios9
ASOBI PARK,屋内施設,宮崎県,宮崎市,,0-1/2-3/4-6,〜1000円,屋内外,https://kyounoko.jp/spot/ASOBI-PARK-8dmp
キッズバウンス,屋内施設,宮崎県,宮崎市,,0-1/2-3,〜1000円,屋内,https://kyounoko.jp/spot/-ztoz
キッズランドUS南宮崎店,屋内施設,宮崎県,宮崎市,,0-1/2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/US-1tbi
こどもーる,屋内施設,宮崎県,延岡市,,0-1/2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-kpdv
ヘルストピア延岡,遊園地,宮崎県,延岡市,,2-3/4-6,1000〜3000円,屋内外,https://kyounoko.jp/spot/-h815
観音池公園,公園,宮崎県,都城市,,2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-xfbc
宮崎科学技術館,博物館・科学館,宮崎県,宮崎市,,2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-peul
宮崎市フェニックス自然動物園,動物園,宮崎県,宮崎市,,2-3/4-6,〜1000円,屋外,https://kyounoko.jp/spot/-zk9h
皇子原公園,公園,宮崎県,西諸県郡高原町,,2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-uoa6
天ヶ城公園,公園,宮崎県,宮崎市,,2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-ha7u
夢見が丘キッズパーク,屋内施設,宮崎県,都城市,,0-1/2-3/4-6,〜1000円,屋内外,https://kyounoko.jp/spot/-pppf
キッズワールド名取店,屋内施設,宮城県,名取市,,0-1/2-3/4-6,1000〜3000円,屋内,https://kyounoko.jp/spot/-a8xe
スリーエム仙台市科学館,博物館・科学館,宮城県,仙台市,,4-6,〜1000円,屋内,https://kyounoko.jp/spot/-qim4
海岸公園冒険広場,公園,宮城県,仙台市,,2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-ylut
感性の森,屋内施設,宮城県,白石市,,0-1/2-3/4-6,1000〜3000円,屋内外,https://kyounoko.jp/spot/-5h8u
宮城蔵王キツネ村,動物園,宮城県,蔵王町,,2-3/4-6,〜1000円,屋外,https://kyounoko.jp/spot/-tohb
国営みちのく杜の湖畔公園,公園,宮城県,川崎町,,0-1/2-3/4-6,〜1000円,屋外,https://kyounoko.jp/spot/-e67p
仙台アンパンマンこどもミュージアム,屋内施設,宮城県,仙台市,,0-1/2-3,1000〜3000円,屋内,https://kyounoko.jp/spot/-4xd2
仙台うみの杜水族館,水族館,宮城県,仙台市,,0-1/2-3/4-6,1000〜3000円,屋内,https://kyounoko.jp/spot/-47ns
仙台市天文台,博物館・科学館,宮城県,仙台市,,2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-ypkk
蔵王ハートランド,牧場,宮城県,蔵王町,,2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-53jc
八木山ベニーランド,遊園地,宮城県,仙台市,,2-3/4-6,1000〜3000円,屋外,https://kyounoko.jp/spot/-9mle
八木山動物公園 フジサキの杜,動物園,宮城県,仙台市,,2-3/4-6,〜1000円,屋外,https://kyounoko.jp/spot/-6abk
八木山動物公園フジサキの杜,動物園,宮城県,仙台市,,2-3/4-6,〜1000円,屋外,https://kyounoko.jp/spot/-jr8w
LOGOS LAND（ロゴスランド）,公園,京都府,城陽市,,2-3/4-6,〜1000円,屋外,https://kyounoko.jp/spot/LOGOS-LAND-7qwq
アクトパル宇治,公園,京都府,宇治市,,2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-y923
けいはんな記念公園,公園,京都府,精華町,,2-3/4-6,〜1000円,屋外,https://kyounoko.jp/spot/-uylf
ピュアハートキッズランド伏見桃山,屋内施設,京都府,京都市伏見区,,0-1/2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-uc56
