chain_key	chain_name	koryaku_slug	official_url	facility_key	facility_label	article_hint	value	note	source_url
ajinomingei	味の民芸	ajino-mingei-kodzure-koryaku	https://www.ajino-mingei.co.jp/	stepFree	入口の段差なし	記事に記述あり			
ajinomingei	味の民芸	ajino-mingei-kodzure-koryaku	https://www.ajino-mingei.co.jp/	zashiki	座敷席	記事に記述あり			
ajinomingei	味の民芸	ajino-mingei-kodzure-koryaku	https://www.ajino-mingei.co.jp/	boxSeat	ボックス席	記事に記述あり			
ajinomingei	味の民芸	ajino-mingei-kodzure-koryaku	https://www.ajino-mingei.co.jp/	kidsChair	キッズチェア	記事に記述あり			
ajinomingei	味の民芸	ajino-mingei-kodzure-koryaku	https://www.ajino-mingei.co.jp/	kidsMenu	キッズメニュー	記事に記述あり	yes	アレルゲン情報ページに「お子様松花堂御膳」を掲載	https://www.ajino-mingei.co.jp/menu/allergic/
ajinomingei	味の民芸	ajino-mingei-kodzure-koryaku	https://www.ajino-mingei.co.jp/	kidsCutlery	子供用カトラリー	記事に記述あり			
ajinomingei	味の民芸	ajino-mingei-kodzure-koryaku	https://www.ajino-mingei.co.jp/	diaperTable	おむつ替え台	記事に記述あり			
ajinomingei	味の民芸	ajino-mingei-kodzure-koryaku	https://www.ajino-mingei.co.jp/	nursingRoom	授乳室	記事に記述あり			
ajinomingei	味の民芸	ajino-mingei-kodzure-koryaku	https://www.ajino-mingei.co.jp/	babyFoodBringIn	離乳食持ち込み	記事に記述あり			
ajinomingei	味の民芸	ajino-mingei-kodzure-koryaku	https://www.ajino-mingei.co.jp/	toriwake	取り分けOK	記事に記述あり			
ajinomingei	味の民芸	ajino-mingei-kodzure-koryaku	https://www.ajino-mingei.co.jp/	strollerToSeat	ベビーカーで席まで	記事に記述あり			
ajinomingei	味の民芸	ajino-mingei-kodzure-koryaku	https://www.ajino-mingei.co.jp/	allergenInfo	アレルゲン表示	記事に記述あり	yes	公式サイトのアレルゲン情報ページ	https://www.ajino-mingei.co.jp/menu/allergic/
amiyakitei	あみやき亭	amiyakitei-kodomo-ryokin	https://amiyakitei.jp/	stepFree	入口の段差なし				
amiyakitei	あみやき亭	amiyakitei-kodomo-ryokin	https://amiyakitei.jp/	zashiki	座敷席		yes	掘りごたつ席・お座敷席を各店で用意（公式「あみやき亭の魅力」）	https://amiyakitei.jp/concept/
amiyakitei	あみやき亭	amiyakitei-kodomo-ryokin	https://amiyakitei.jp/	boxSeat	ボックス席				
amiyakitei	あみやき亭	amiyakitei-kodomo-ryokin	https://amiyakitei.jp/	kidsChair	キッズチェア				
amiyakitei	あみやき亭	amiyakitei-kodomo-ryokin	https://amiyakitei.jp/	kidsMenu	キッズメニュー	記事に記述あり	yes	お子様フルセット・お子様カレー等を掲載（一部店舗はメニュー構成が異なる旨の注記あり）	https://amiyakitei.jp/menu/
amiyakitei	あみやき亭	amiyakitei-kodomo-ryokin	https://amiyakitei.jp/	kidsCutlery	子供用カトラリー				
amiyakitei	あみやき亭	amiyakitei-kodomo-ryokin	https://amiyakitei.jp/	diaperTable	おむつ替え台				
amiyakitei	あみやき亭	amiyakitei-kodomo-ryokin	https://amiyakitei.jp/	nursingRoom	授乳室				
amiyakitei	あみやき亭	amiyakitei-kodomo-ryokin	https://amiyakitei.jp/	babyFoodBringIn	離乳食持ち込み				
amiyakitei	あみやき亭	amiyakitei-kodomo-ryokin	https://amiyakitei.jp/	toriwake	取り分けOK	記事に記述あり			
amiyakitei	あみやき亭	amiyakitei-kodomo-ryokin	https://amiyakitei.jp/	strollerToSeat	ベビーカーで席まで				
amiyakitei	あみやき亭	amiyakitei-kodomo-ryokin	https://amiyakitei.jp/	allergenInfo	アレルゲン表示		yes	アレルギー成分一覧表（PDF）	https://amiyakitei.jp/pdf/allergy.pdf
anrakutei	安楽亭	anrakutei-kodzure-koryaku	https://anrakutei.jp/	stepFree	入口の段差なし	記事に記述あり	partial	店舗による（公式店舗検索で入口スロープ表示は129店中37店）	https://anrakutei.jp/map/result/
