id,kencode,kenname,cityname,name,address,tel,cond_morning,cond_kidsmenu,cond_parking,url,notice,mon_start,mon_end,tue_start,tue_end,wed_start,wed_end,thu_start,thu_end,fri_start,fri_end,sat_start,sat_end,sun_start,sun_end
1094,01,北海道,恵庭市,やよい軒 フレスポ恵み野店,北海道恵庭市恵み野里美２丁目１６－１０,0123-39-5888,1,1,1,https://store.yayoiken.com/b/yayoiken/info/1094/,※ラストオーダーは閉店時間の30分前です。<br />※祝日は、日曜と同じ営業時間になります。,1000,2200,1000,2200,1000,2200,1000,2200,1000,2300,900,2300,900,2200
1710,01,北海道,札幌市白石区,やよい軒 南郷通１９丁目店,北海道札幌市白石区南郷通１９丁目南３－１８,011-868-0208,1,1,1,https://store.yayoiken.com/b/yayoiken/info/1710/,※ラストオーダーは閉店時間の30分前です。<br />※祝日は、土曜・日曜と同じ営業時間になります。,1000,2400,1000,2400,1000,2400,1000,2400,1000,2400,700,2400,700,2400
1753,01,北海道,札幌市南区,やよい軒 藻岩店,北海道札幌市南区南３９条西１１丁目１－２５,011-588-7000,1,1,1,https://store.yayoiken.com/b/yayoiken/info/1753/,※ラストオーダーは閉店時間の15分前です。<br />※祝日は、土曜・日曜と同じ営業時間になります。,1000,2200,1000,2200,1000,2200,1000,2200,1000,2200,900,2200,900,2200
1830,01,北海道,札幌市清田区,やよい軒 羊ヶ丘通り店,北海道札幌市清田区清田２３６－５,011-889-2700,1,1,1,https://store.yayoiken.com/b/yayoiken/info/1830/,※ラストオーダーは閉店時間の15分前です。<br />※祝日は、土曜・日曜と同じ営業時間になります。,1000,2200,1000,2200,1000,2200,1000,2200,1000,2200,900,2200,900,2200
1897,01,北海道,札幌市西区,やよい軒 二十四軒店,北海道札幌市西区二十四軒３条１丁目１番２２号,011-633-7866,1,1,1,https://store.yayoiken.com/b/yayoiken/info/1897/,※ラストオーダーは閉店時間の15分前です。,800,2300,800,2300,800,2300,800,2300,800,2300,800,2300,800,2300
1098,04,宮城県,大崎市,やよい軒 古川穂波店,宮城県大崎市古川穂波３丁目１－１０,0229-91-0057,1,1,1,https://store.yayoiken.com/b/yayoiken/info/1098/,※ラストオーダーは閉店時間の30分前です。<br />※祝日は、土曜・日曜と同じ営業時間になります。,1000,2300,1000,2300,1000,2300,1000,2300,1000,2300,700,2300,700,2300
1809,04,宮城県,仙台市青葉区,やよい軒 仙台一番町店,宮城県仙台市青葉区一番町４丁目４－３３ トレンドビル１Ｆ,022-216-1217,1,,,https://store.yayoiken.com/b/yayoiken/info/1809/,※ラストオーダーは閉店時間の30分前です。,700,2300,700,2300,700,2300,700,2300,700,2300,700,2300,700,2300
1835,04,宮城県,仙台市若林区,やよい軒 仙台六丁の目店,宮城県仙台市若林区六丁の目西町２－１,080-4092-2515,1,1,1,https://store.yayoiken.com/b/yayoiken/info/1835/,※ラストオーダーは閉店時間の30分前です。,700,2400,700,2400,700,2400,700,2400,700,2400,700,2400,700,2400
1895,04,宮城県,名取市,やよい軒 名取増田店,宮城県名取市増田３丁目９－４４,022-381-4881,1,1,1,https://store.yayoiken.com/b/yayoiken/info/1895/,※ラストオーダーは閉店時間の30分前です。<br />※祝日は、土曜・日曜と同じ営業時間になります。,1000,2400,1000,2400,1000,2400,1000,2400,1000,2400,700,2400,700,2400
2117,04,宮城県,石巻市,やよい軒 石巻中里店,宮城県石巻市東中里３丁目２番１６,0225-21-5580,1,1,1,https://store.yayoiken.com/b/yayoiken/info/2117/,※ラストオーダーは閉店時間の30分前です。<br />※祝日は、土曜・日曜と同じ営業時間になります。,1000,2400,1000,2400,1000,2400,1000,2400,1000,2400,700,2400,700,2400
1002,08,茨城県,つくば市,やよい軒 つくば下広岡店,茨城県つくば市下広岡１０５５番２５,029-850-3008,1,1,1,https://store.yayoiken.com/b/yayoiken/info/1002/,※当店では22時から翌5時の間、『定食・丼・麺・おうち定食(テイクアウト)』に深夜料金50円を加算させていただいております。（一部のメニューは深夜料金対象外）<br />※ラストオーダーは閉店時間の30分前です。<br />※祝日は、土曜・日曜と同じ営業時間になります。,1000,2400,1000,2400,1000,2400,1000,2400,1000,2400,700,2400,700,2400
1703,08,茨城県,石岡市,やよい軒 石岡旭台店,茨城県石岡市旭台１丁目１番４号,0299-28-6348,1,1,1,https://store.yayoiken.com/b/yayoiken/info/1703/,※当店では22時から翌5時の間、『定食・丼・麺・おうち定食(テイクアウト)』に深夜料金50円を加算させていただいております。（一部のメニューは深夜料金対象外）<br />※ラストオーダーは閉店時間の30分前です。<br />※祝日は、土曜・日曜と同じ営業時間になります。,1000,2400,1000,2400,1000,2400,1000,2400,1000,2400,700,2400,700,2400
1724,08,茨城県,牛久市,やよい軒 牛久上柏田店,茨城県牛久市上柏田三丁目２９番１２,029-870-1617,1,1,1,https://store.yayoiken.com/b/yayoiken/info/1724/,※当店では22時から翌5時の間、『定食・丼・麺・おうち定食(テイクアウト)』に深夜料金50円を加算させていただいております。（一部のメニューは深夜料金対象外）<br />※ラストオーダーは閉店時間の30分前です。<br />※祝日は、土曜・日曜と同じ営業時間になります。,1000,2400,1000,2400,1000,2400,1000,2400,1000,2400,700,2400,700,2400
1779,08,茨城県,守谷市,やよい軒 守谷立沢店,茨城県守谷市立沢２０５１－８,0297-21-0121,1,1,1,https://store.yayoiken.com/b/yayoiken/info/1779/,※当店では22時から翌5時の間、『定食・丼・麺・おうち定食(テイクアウト)』に深夜料金50円を加算させていただいております。（一部のメニューは深夜料金対象外）<br />※ラストオーダーは閉店時間の30分前です。<br />※祝日は、土曜・日曜と同じ営業時間になります。,1000,2400,1000,2400,1000,2400,1000,2400,1000,2400,700,2400,700,2400
1842,08,茨城県,ひたちなか市,やよい軒 ひたちなか市毛店,茨城県ひたちなか市大字市毛字上坪１０８２－２,029-202-9007,1,1,1,https://store.yayoiken.com/b/yayoiken/info/1842/,※ラストオーダーは閉店時間の30分前です。,1000,2300,1000,2300,1000,2300,1000,2300,1000,2300,1000,2300,1000,2300
2037,08,茨城県,水戸市,やよい軒 水戸米沢町店,茨城県水戸市米沢町字中組２３８－１,029-304-1558,1,1,1,https://store.yayoiken.com/b/yayoiken/info/2037/,※ラストオーダーは閉店時間の30分前です。<br />※祝日は、土曜・日曜と同じ営業時間になります。,1000,2300,1000,2300,1000,2300,1000,2300,1000,2300,700,2300,700,2300
2071,08,茨城県,鹿嶋市,やよい軒 鹿嶋谷原店,茨城県鹿嶋市谷原４５４－１,0299-90-7810,1,1,1,https://store.yayoiken.com/b/yayoiken/info/2071/,※ラストオーダーは閉店時間の30分前です。,1000,2400,1000,2400,1000,2400,1000,2400,1000,2400,1000,2400,1000,2400
1008,09,栃木県,宇都宮市,やよい軒 宇都宮テクノポリス店,栃木県宇都宮市ゆいの杜６－１－２５,028-670-3844,1,1,1,https://store.yayoiken.com/b/yayoiken/info/1008/,※ラストオーダーは閉店時間の30分前です。,900,2315,900,2315,900,2315,900,2315,900,2315,900,2315,900,2315
1395,09,栃木県,佐野市,やよい軒 佐野高萩店,栃木県佐野市高萩町１３２３－１４,0283-27-0078,1,1,1,https://store.yayoiken.com/b/yayoiken/info/1395/,※ラストオーダーは閉店時間の30分前です。,1000,2400,1000,2400,1000,2400,1000,2400,1000,2400,1000,2400,1000,2400
1479,09,栃木県,足利市,やよい軒 足利朝倉町店,栃木県足利市朝倉町２丁目２２－５,0284-70-8050,1,1,1,https://store.yayoiken.com/b/yayoiken/info/1479/,※当店では22時から翌5時の間、『定食・丼・麺・おうち定食(テイクアウト)』に深夜料金50円を加算させていただいております。（一部のメニューは深夜料金対象外）<br />※ラストオーダーは閉店時間の30分前です。,900,2400,900,2400,900,2400,900,2400,900,2400,900,2400,900,2400
