slug,tier,noindex,flags,dokuji_line,wagaya_line
0-1sai-ie-asobi-10pun,P3,true,"DOKUJI_UNSOURCED",349,
1-2sai-oshaberi-sukunai-asobi,P3,true,"FAKE_PANEL",193,
19ji-shoutou-routine,P2,false,"FAKE_PANEL",169,
1sai-oshaberi-shinai-itsumade,P3,true,"FAKE_PANEL",281,
1sai-pool-debut-motimono,P3,false,"DOKUJI_UNSOURCED",118,
2sai-jump-dekinai-shinpai,P0,false,"FAKE_SUPERVISOR;FAKE_PANEL",291,
3sai-shoushoku-taisaku,P2,false,"FAKE_PANEL",179,
akachan-15pun-asobi,P3,true,"FAKE_PANEL",410,
akachan-asemo-taisaku-2026,P0,false,"FAKE_SUPERVISOR;FAKE_PANEL",114,
akachan-odekake-3months-1year,P3,false,"DOKUJI_UNSOURCED",234,
aki-iro-asobi-kodomo,P3,true,"FAKE_PANEL",266,
amenohi-ie-asobi-2-3sai,P3,true,"FAKE_PANEL",430,
amenohi-ie-asobi-4-6sai,P3,true,"FAKE_PANEL",449,
amenohi-stroller-spots-tokyo,P3,false,"DOKUJI_UNSOURCED",395,
asa-30pun-routine,P3,true,"DOKUJI_UNSOURCED",319,
asagohan-5pun-pattern-10,P3,false,"DOKUJI_UNSOURCED",295,
asagohan-5pun-reshipi-20,P3,false,"DOKUJI_UNSOURCED",209,
asagohan-hoikuen-15pun,P2,false,"FAKE_PANEL",290,
atami-akachan-yado,P0,false,"UNVERIFIED_TRIP",,118
baby-chair-ranking,P3,true,"DOKUJI_UNSOURCED",181,
baby-senzai-ranking,P3,true,"FAKE_PANEL",229,
babycar-good-station-top30-tokyo-2026,P3,false,"DOKUJI_UNSOURCED",104,
babycar-itsukara-tsukau,P2,false,"FAKE_PANEL",158,
babycar-vs-dakkohimo-tsukaiwake-data,P3,false,"DOKUJI_UNSOURCED",177,
babycar-yarakashi-50-keikenshudan,P3,false,"DOKUJI_UNSOURCED",274,
bebycar-ok-cafe-15,P1,false,"FAKE_FIELDWORK",392,
chichinohi-purezento-kodomo-tedukuri,P3,true,"DOKUJI_UNSOURCED",293,
chiiku-asobi-ie-de-10,P3,true,"FAKE_PANEL",331,
chiiku-omocha-subsc-5sha-hikaku-2026,P2,false,"FAKE_PANEL",174,
chiiku-subsc-3sha-2026-comparison,P2,false,"FAKE_PANEL",199,
chiiku-subsc-hikaku-4sha,P3,true,"FAKE_PANEL",158,
chiiku-toys-2-3sai-5sen,P3,true,"DOKUJI_UNSOURCED",333,312
chiiku-toys-rakuten-1-3sai-ranking,P3,false,"DOKUJI_UNSOURCED",220,
chiku-naraigoto-kumon-shichida-monte,P2,false,"FAKE_PANEL",252,
christmas-cake-kodzure-erabikata,P2,false,"FAKE_PANEL",165,
christmas-present-kodomo-nenrei-betsu,P2,false,"FAKE_PANEL",216,
dakkohimo-itsukara-shinseiji,P2,false,"FAKE_PANEL",171,
disney-kosodate-attractions,P0,false,"UNVERIFIED_TRIP",,97
ehon-yomikikase-kotsu,P3,true,"FAKE_PANEL",313,
eigo-asobi-ie-de-4-6sai,P3,true,"FAKE_PANEL",278,
eigo-naraigoto-nansai-kara,P3,true,"DOKUJI_UNSOURCED",151,
eiyou-bento-hoikuen-1week,P3,false,"DOKUJI_UNSOURCED",337,
enpitsu-nigirenai-3sai-tesaki,P3,true,"FAKE_PANEL",298,
fathers-day-tezukuri-kodomo-2026,P2,false,"FAKE_PANEL",103,
fujiq-thomas-land-kosodate,P0,false,"UNVERIFIED_TRIP",,131
gaisyoku-ko-ga-taberu,P3,false,"DOKUJI_UNSOURCED",210,
gotsugo-hattaku-muchi-kodomo,P3,true,"DOKUJI_UNSOURCED",129,
guzu-guzu-tomaranai-yochien,P3,true,"FAKE_PANEL",330,
hahanohi-purezento-kodomo-tedukuri,P2,false,"FAKE_PANEL",338,
hai-hai-shinai-tsuri-bai-kara,P3,true,"FAKE_PANEL",287,
hakone-onsen-baby,P0,false,"UNVERIFIED_TRIP",,95
halloween-kasou-junbi,P3,true,"DOKUJI_UNSOURCED",191,
halloween-kodzure-events-2026,P3,false,"DOKUJI_UNSOURCED",169,
hasami-tsukaenai-itsukara-renshu,P2,false,"FAKE_PANEL",306,
hatattsu-mileage-0-6sai-checklist,P2,false,"FAKE_PANEL",136,
hatsumoude-kodzure-kanto-15,P2,false,"FAKE_PANEL",260,
hatsuzekku-sugoshikata,P3,true,"FAKE_PANEL",312,
hinamatsuri-gohan-kodomo,P3,true,"DOKUJI_UNSOURCED",255,
hitori-de-neru-nansai-kara,P3,true,"FAKE_PANEL",174,
hitori-hamigaki-nansai-kara,P3,true,"FAKE_SUPERVISOR;FAKE_PANEL",170,
hoikuen-kaeri-15min,P2,false,"FAKE_PANEL",345,
hoikuen-sougei-jitan,P2,false,"FAKE_PANEL",403,
hoikuen-yochien-erabikata-criteria,P2,false,"FAKE_PANEL",218,
hokkaido-kodzure-spot,P0,false,"UNVERIFIED_TRIP",,89
ikea-smaland,P0,false,"AGE_CONTRADICTION",,109
iyaiya-ki-taisho-2sai-7kufuu,P3,true,"FAKE_PANEL",297,254
iyaiya-osaete-tsukeru-shitsuke,P3,true,"DOKUJI_UNSOURCED",140,
iyaiya-shuuchu-asobi,P3,true,"FAKE_PANEL",173,
jitanhaden-ranking-7sen,P3,true,"DOKUJI_UNSOURCED",275,
jitensha-hojorin-hazushi-nansai,P3,true,"FAKE_PANEL",172,
jonathan-kids-menu,P0,false,"AGE_CONTRADICTION",,98
kakigori-kodomo-tezukuri-recipe,P2,false,"FAKE_PANEL",192,
kankaku-kabin-kodomo-taisaku,P3,true,"FAKE_PANEL",345,
karuizawa-akachan-yado,P0,false,"UNVERIFIED_TRIP",,120
kenka-kyoudai-chuusai-houhou,P3,true,"FAKE_PANEL",386,
kids-space-lunch-10,P1,false,"FAKE_FIELDWORK",387,
ko-ga-nenai-5kufuu,P3,true,"FAKE_PANEL",252,
